occurrence_no,identified_name,identified_rank,accepted_name,accepted_rank,early_interval,max_ma,min_ma,ref_pubyr,phylum,class,order,family,genus,lng,lat,state,county,paleolng,paleolat,geoplate,cc,lithdescript,lithology1,lithadj1,lithification1,environment,tectonic_setting,geology_comments,assembl_comps,pres_mode,collection_type,taxonomy_comments,taxon_environment,motility,vision,diet,genus
110503,Tentaculites sp.,genus,Tentaculites,genus,Early Devonian,419.2,393.3,1965,Lophotrochozoa,NO_CLASS_SPECIFIED,Tentaculitida,Tentaculitidae,Tentaculites,144,-37,Victoria,Dargile,126.58,-32.48,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,facultatively mobile,,suspension feeder,Tentaculites
110504,Trilobita indet.,class,Trilobita,class,Early Devonian,419.2,393.3,1965,Arthropoda,Trilobita,,,,144,-37,Victoria,Dargile,126.58,-32.48,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,marine,fast-moving,,carnivore,
110505,Trimerus sp.,genus,Trimerus,genus,Early Devonian,419.2,393.3,1965,Arthropoda,Trilobita,Phacopida,Homalonotidae,Trimerus,144,-37,Victoria,Dargile,126.58,-32.48,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,marine,fast-moving,well-developed,carnivore,Trimerus
110652,Trilobita indet.,class,Trilobita,class,Early Devonian,419.2,393.3,1965,Arthropoda,Trilobita,,,,144.766663,-36.766666,Victoria,Redcastle,127.22,-32.11,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,marine,fast-moving,,carnivore,
110661,Cladopora sp.,genus,Cladopora,genus,Early Devonian,419.2,393.3,1965,Cnidaria,Anthozoa,Favositida,Pachyporidae,Cladopora,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,"stationary, attached",blind,"suspension feeder, photosymbiotic",Cladopora
110662,Molongia n. sp. sp.,genus,Molongia,genus,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Athyridida,Retziellidae,Molongia,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Molongia
110663,Rhynchonellidae indet.,family,Rhynchonellidae,family,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,
110664,Spiriferidae indet.,family,Spiriferidae,family,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Spiriferida,Spiriferidae,,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,
110665,Glossites sp. ?,genus,Glossites,genus,Early Devonian,419.2,393.3,1965,Mollusca,Bivalvia,Modiomorphida,Modiomorphidae,Glossites,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,"stationary, attached",blind,suspension feeder,Glossites
110666,Lamellibranchiata indet.,class,Bivalvia,class,Early Devonian,419.2,393.3,1965,Mollusca,Bivalvia,,,,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,facultatively mobile,blind,suspension feeder,
110667,Loxonematidae indet.,family,Loxonematidae,family,Early Devonian,419.2,393.3,1965,Mollusca,Gastropoda,Murchisoniina,Loxonematidae,,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,facultatively mobile,limited,suspension feeder,
110668,Leptostrophia sp. ?,genus,Leptostrophia,genus,Early Devonian,419.2,393.3,1965,Brachiopoda,Strophomenata,Strophomenida,Leptostrophiidae,Leptostrophia,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Leptostrophia
110669,Rhynchonellidae indet.,family,Rhynchonellidae,family,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,
110670,Actinopteria sp. ?,genus,Actinopteria,genus,Early Devonian,419.2,393.3,1965,Mollusca,Bivalvia,Ostreida,Pterineidae,Actinopteria,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,"marine,brackish","stationary, attached",blind,suspension feeder,Actinopteria
110671,Glossites sp. ?,genus,Glossites,genus,Early Devonian,419.2,393.3,1965,Mollusca,Bivalvia,Modiomorphida,Modiomorphidae,Glossites,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,"stationary, attached",blind,suspension feeder,Glossites
110672,Bucanella sp. ?,genus,Bucanella,genus,Early Devonian,419.2,393.3,1965,Mollusca,Gastropoda,Bellerophontida,Bucanellidae,Bucanella,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,actively mobile,limited,detritivore,Bucanella
110673,Temnodiscus sp. ?,genus,Temnodiscus,genus,Early Devonian,419.2,393.3,1965,Mollusca,Gastropoda,Bellerophontida,Tropidodiscidae,Temnodiscus,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,slow-moving,limited,detritivore,Temnodiscus
110674,Gastropoda indet.,class,Gastropoda,class,Early Devonian,419.2,393.3,1965,Mollusca,Gastropoda,,,,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,actively mobile,limited,,
110675,Nautiloidea indet.,subclass,Nautiloidea,subclass,Early Devonian,419.2,393.3,1965,Mollusca,Cephalopoda,,,,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,fast-moving,well-developed,carnivore,
110696,Cladopora sp.,genus,Cladopora,genus,Early Devonian,419.2,393.3,1965,Cnidaria,Anthozoa,Favositida,Pachyporidae,Cladopora,144.166672,-37.416668,Victoria,Cornella,126.85,-32.85,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,"stationary, attached",blind,"suspension feeder, photosymbiotic",Cladopora
110697,Rhynchonellidae indet.,family,Rhynchonellidae,family,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,,144.166672,-37.416668,Victoria,Cornella,126.85,-32.85,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,
110698,Lamellibranchiata indet.,class,Bivalvia,class,Early Devonian,419.2,393.3,1965,Mollusca,Bivalvia,,,,144.166672,-37.416668,Victoria,Cornella,126.85,-32.85,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,facultatively mobile,blind,suspension feeder,
110699,Gastropoda indet.,class,Gastropoda,class,Early Devonian,419.2,393.3,1965,Mollusca,Gastropoda,,,,144.166672,-37.416668,Victoria,Cornella,126.85,-32.85,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,actively mobile,limited,,
110700,Tentaculites sp.,genus,Tentaculites,genus,Early Devonian,419.2,393.3,1965,Lophotrochozoa,NO_CLASS_SPECIFIED,Tentaculitida,Tentaculitidae,Tentaculites,144.166672,-37.416668,Victoria,Cornella,126.85,-32.85,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,facultatively mobile,,suspension feeder,Tentaculites
110701,Proetidae indet.,family,Proetidae,family,Early Devonian,419.2,393.3,1965,Arthropoda,Trilobita,Proetida,Proetidae,,144.166672,-37.416668,Victoria,Cornella,126.85,-32.85,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,marine,fast-moving,well-developed,deposit feeder,
110702,Calymene sp.,genus,Calymene,genus,Early Devonian,419.2,393.3,1965,Arthropoda,Trilobita,Phacopida,Calymenidae,Calymene,144.166672,-37.416668,Victoria,Cornella,126.85,-32.85,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,marine,actively mobile,well-developed,carnivore,Calymene
110703,Leptostrophia sp. ?,genus,Leptostrophia,genus,Early Devonian,419.2,393.3,1965,Brachiopoda,Strophomenata,Strophomenida,Leptostrophiidae,Leptostrophia,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Leptostrophia
110704,Rhynchonellidae indet.,family,Rhynchonellidae,family,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,
110705,Rhynchonellidae indet.,family,Rhynchonellidae,family,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,
110706,Leiopteria sp. ?,genus,Leptodesma (Leiopteria),subgenus,Early Devonian,419.2,393.3,1965,Mollusca,Bivalvia,Ostreida,Pterineidae,Leptodesma (Leiopteria),151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,"marine,brackish","stationary, attached",blind,suspension feeder,Leptodesma (Leiopteria)
110707,Actinopteria sp. ?,genus,Actinopteria,genus,Early Devonian,419.2,393.3,1965,Mollusca,Bivalvia,Ostreida,Pterineidae,Actinopteria,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,"marine,brackish","stationary, attached",blind,suspension feeder,Actinopteria
110708,Lamellibranchiata indet.,class,Bivalvia,class,Early Devonian,419.2,393.3,1965,Mollusca,Bivalvia,,,,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,facultatively mobile,blind,suspension feeder,
110709,Loxonematidae indet.,family,Loxonematidae,family,Early Devonian,419.2,393.3,1965,Mollusca,Gastropoda,Murchisoniina,Loxonematidae,,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,facultatively mobile,limited,suspension feeder,
110710,Nautiloidea indet.,subclass,Nautiloidea,subclass,Early Devonian,419.2,393.3,1965,Mollusca,Cephalopoda,,,,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,fast-moving,well-developed,carnivore,
110711,Rhynchonellidae indet.,family,Rhynchonellidae,family,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,,144.766663,-36.766666,Victoria,Redcastle,127.22,-32.11,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,
110712,Atrypa sp.,genus,Atrypa,genus,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Atrypida,Atrypidae,Atrypa,144.766663,-36.766666,Victoria,Redcastle,127.22,-32.11,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Atrypa
110713,Molongia n. sp. sp.,genus,Molongia,genus,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Athyridida,Retziellidae,Molongia,144.766663,-36.766666,Victoria,Redcastle,127.22,-32.11,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Molongia
110714,Rhynchonellidae indet.,family,Rhynchonellidae,family,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,,144.766663,-36.766666,Victoria,Redcastle,127.22,-32.11,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,
110715,Atrypa sp.,genus,Atrypa,genus,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Atrypida,Atrypidae,Atrypa,144.766663,-36.766666,Victoria,Redcastle,127.22,-32.11,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Atrypa
110716,Lissatrypa cf. lenticulata,species,Lissatrypa,genus,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Atrypida,Lissatrypidae,Lissatrypa,144.766663,-36.766666,Victoria,Redcastle,127.22,-32.11,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Lissatrypa
110717,Dalmanellacea indet.,superfamily,Dalmanellacea,superfamily,Early Devonian,419.2,393.3,1965,NO_PHYLUM_SPECIFIED,NO_CLASS_SPECIFIED,Protremata,,,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,,,,
110718,Leptostrophia sp. ?,genus,Leptostrophia,genus,Early Devonian,419.2,393.3,1965,Brachiopoda,Strophomenata,Strophomenida,Leptostrophiidae,Leptostrophia,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Leptostrophia
110719,Notoconchidium thomasi,species,Notoconchidium,genus,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Rhynchonellida,Hebetoechiidae,Notoconchidium,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Notoconchidium
110720,Molongia n. sp. sp.,genus,Molongia,genus,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Athyridida,Retziellidae,Molongia,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Molongia
110721,Rhynchonellidae indet.,family,Rhynchonellidae,family,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,
110722,Howellella sp.,genus,Howellella,genus,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Spiriferida,Delthyrididae,Howellella,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Howellella
110723,Spiriferidae indet.,family,Spiriferidae,family,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Spiriferida,Spiriferidae,,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,
110724,Leiopteria sp. ?,genus,Leptodesma (Leiopteria),subgenus,Early Devonian,419.2,393.3,1965,Mollusca,Bivalvia,Ostreida,Pterineidae,Leptodesma (Leiopteria),151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,"marine,brackish","stationary, attached",blind,suspension feeder,Leptodesma (Leiopteria)
110725,Actinopteria sp.,genus,Actinopteria,genus,Early Devonian,419.2,393.3,1965,Mollusca,Bivalvia,Ostreida,Pterineidae,Actinopteria,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,"marine,brackish","stationary, attached",blind,suspension feeder,Actinopteria
110726,Modiomorpha sp. ?,genus,Modiomorpha,genus,Early Devonian,419.2,393.3,1965,Mollusca,Bivalvia,Modiomorphida,Modiomorphidae,Modiomorpha,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,"stationary, attached",blind,suspension feeder,Modiomorpha
110727,Lamellibranchiata indet.,class,Bivalvia,class,Early Devonian,419.2,393.3,1965,Mollusca,Bivalvia,,,,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,facultatively mobile,blind,suspension feeder,
110728,Temnodiscus sp. ?,genus,Temnodiscus,genus,Early Devonian,419.2,393.3,1965,Mollusca,Gastropoda,Bellerophontida,Tropidodiscidae,Temnodiscus,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,slow-moving,limited,detritivore,Temnodiscus
110729,Bellerophontidae indet.,family,Bellerophontidae,family,Early Devonian,419.2,393.3,1965,Mollusca,Gastropoda,Bellerophontida,Bellerophontidae,,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,slow-moving,limited,detritivore,
110730,Gastropoda indet.,class,Gastropoda,class,Early Devonian,419.2,393.3,1965,Mollusca,Gastropoda,,,,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,actively mobile,limited,,
110731,Loxonematidae indet.,family,Loxonematidae,family,Early Devonian,419.2,393.3,1965,Mollusca,Gastropoda,Murchisoniina,Loxonematidae,,151.016663,-34.083332,Victoria,Heathcote,132.24,-28.32,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,facultatively mobile,limited,suspension feeder,
110732,Leptaena sp.,genus,Leptaena,genus,Early Devonian,419.2,393.3,1965,Brachiopoda,Strophomenata,Strophomenida,Rafinesquinidae,Leptaena,144.766663,-36.766666,Victoria,Redcastle,127.22,-32.11,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Leptaena
110733,Maoristrophia sp.,genus,Maoristrophia,genus,Early Devonian,419.2,393.3,1965,Brachiopoda,Strophomenata,Strophomenida,Amphistrophiidae,Maoristrophia,144.766663,-36.766666,Victoria,Redcastle,127.22,-32.11,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Maoristrophia
110734,Rhynchonellidae indet.,family,Rhynchonellidae,family,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,,144.766663,-36.766666,Victoria,Redcastle,127.22,-32.11,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,
110735,Trilobita indet.,class,Trilobita,class,Early Devonian,419.2,393.3,1965,Arthropoda,Trilobita,,,,144.766663,-36.766666,Victoria,Redcastle,127.22,-32.11,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,marine,fast-moving,,carnivore,
110736,Dalmanellacea indet.,superfamily,Dalmanellacea,superfamily,Early Devonian,419.2,393.3,1965,NO_PHYLUM_SPECIFIED,NO_CLASS_SPECIFIED,Protremata,,,144.766663,-36.766666,Victoria,Redcastle,127.22,-32.11,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,,,,
110737,Rhynchonellidae indet.,family,Rhynchonellidae,family,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,,144.766663,-36.766666,Victoria,Redcastle,127.22,-32.11,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,
110738,Lissatrypa sp.,genus,Lissatrypa,genus,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Atrypida,Lissatrypidae,Lissatrypa,144.766663,-36.766666,Victoria,Redcastle,127.22,-32.11,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Lissatrypa
110739,Molongia n. sp. sp.,genus,Molongia,genus,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Athyridida,Retziellidae,Molongia,144.766663,-36.766666,Victoria,Redcastle,127.22,-32.11,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Molongia
110740,Howellella sp.,genus,Howellella,genus,Early Devonian,419.2,393.3,1965,Brachiopoda,Rhynchonellata,Spiriferida,Delthyrididae,Howellella,144.766663,-36.766666,Victoria,Redcastle,127.22,-32.11,801,AU,sandstone,sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Howellella
111197,Leptostrophia sp. ?,genus,Leptostrophia,genus,Lochkovian,419.2,410.8,1965,Brachiopoda,Strophomenata,Strophomenida,Leptostrophiidae,Leptostrophia,144.766663,-36.766666,Victoria,Redcastle,123.73,-26.51,801,AU,"leached sandstone, at times conglomeratic",sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Leptostrophia
111198,Molongia n. sp. sp.,genus,Molongia,genus,Lochkovian,419.2,410.8,1965,Brachiopoda,Rhynchonellata,Athyridida,Retziellidae,Molongia,144.766663,-36.766666,Victoria,Redcastle,123.73,-26.51,801,AU,"leached sandstone, at times conglomeratic",sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Molongia
111199,Rhynchonellidae indet.,family,Rhynchonellidae,family,Lochkovian,419.2,410.8,1965,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,,144.766663,-36.766666,Victoria,Redcastle,123.73,-26.51,801,AU,"leached sandstone, at times conglomeratic",sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,
111200,Rugosa indet.,subclass,Rugosa,subclass,Lochkovian,419.2,410.8,1965,Cnidaria,Anthozoa,,,,144.766663,-36.766666,Victoria,Redcastle,123.73,-26.51,801,AU,"leached sandstone, at times conglomeratic",sandstone,,,marine indet.,,,,,biostratigraphic,,,"stationary, attached",blind,suspension feeder,
111201,Isorthis sp.,genus,Isorthis,genus,Lochkovian,419.2,410.8,1965,Brachiopoda,Rhynchonellata,Orthida,Dalmanellidae,Isorthis,144.766663,-36.766666,Victoria,Redcastle,123.73,-26.51,801,AU,"leached sandstone, at times conglomeratic",sandstone,,,marine indet.,,,,,biostratigraphic,,,"stationary, attached",blind,suspension feeder,Isorthis
111202,Leptostrophia sp. ?,genus,Leptostrophia,genus,Lochkovian,419.2,410.8,1965,Brachiopoda,Strophomenata,Strophomenida,Leptostrophiidae,Leptostrophia,144.766663,-36.766666,Victoria,Redcastle,123.73,-26.51,801,AU,"leached sandstone, at times conglomeratic",sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Leptostrophia
111203,Rhynchonellidae indet.,family,Rhynchonellidae,family,Lochkovian,419.2,410.8,1965,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,,144.766663,-36.766666,Victoria,Redcastle,123.73,-26.51,801,AU,"leached sandstone, at times conglomeratic",sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,
111204,Molongia n. sp. sp.,genus,Molongia,genus,Lochkovian,419.2,410.8,1965,Brachiopoda,Rhynchonellata,Athyridida,Retziellidae,Molongia,144.766663,-36.766666,Victoria,Redcastle,123.73,-26.51,801,AU,"leached coarse sandstone, at times conglomeratic",sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Molongia
111205,Rhynchonellidae indet.,family,Rhynchonellidae,family,Lochkovian,419.2,410.8,1965,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,,144.766663,-36.766666,Victoria,Redcastle,123.73,-26.51,801,AU,"leached coarse sandstone, at times conglomeratic",sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,
111206,Conulariidae indet.,family,Conulariidae,family,Lochkovian,419.2,410.8,1965,Cnidaria,Scyphozoa,Conulariida,Conulariidae,,144.766663,-36.766666,Victoria,Redcastle,123.73,-26.51,801,AU,"leached coarse sandstone, at times conglomeratic",sandstone,,,marine indet.,,,,,biostratigraphic,,,"stationary, attached",blind,suspension feeder,
111207,Notoconchidium thomasi,species,Notoconchidium,genus,Lochkovian,419.2,410.8,1965,Brachiopoda,Rhynchonellata,Rhynchonellida,Hebetoechiidae,Notoconchidium,144.766663,-36.766666,Victoria,Redcastle,123.73,-26.51,801,AU,"leached coarse sandstone, at times conglomeratic",sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Notoconchidium
111208,Rhynchonellidae indet.,family,Rhynchonellidae,family,Lochkovian,419.2,410.8,1965,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,,144.766663,-36.766666,Victoria,Redcastle,123.73,-26.51,801,AU,"leached coarse sandstone, at times conglomeratic",sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,
111209,Howellella sp.,genus,Howellella,genus,Lochkovian,419.2,410.8,1965,Brachiopoda,Rhynchonellata,Spiriferida,Delthyrididae,Howellella,144.766663,-36.766666,Victoria,Redcastle,123.73,-26.51,801,AU,"leached coarse sandstone, at times conglomeratic",sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Howellella
111210,Straparollus sp.,genus,Straparollus,genus,Lochkovian,419.2,410.8,1965,Mollusca,Gastropoda,Euomphalina,Euomphalidae,Straparollus,144.766663,-36.766666,Victoria,Redcastle,123.73,-26.51,801,AU,"leached coarse sandstone, at times conglomeratic",sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,limited,suspension feeder,Straparollus
111211,Nautiloidea indet.,subclass,Nautiloidea,subclass,Lochkovian,419.2,410.8,1965,Mollusca,Cephalopoda,,,,144.766663,-36.766666,Victoria,Redcastle,123.73,-26.51,801,AU,"leached coarse sandstone, at times conglomeratic",sandstone,,,marine indet.,,,,,biostratigraphic,,,fast-moving,well-developed,carnivore,
111212,Rhynchonellidae indet.,family,Rhynchonellidae,family,Lochkovian,419.2,410.8,1965,Brachiopoda,Rhynchonellata,Rhynchonellida,Rhynchonellidae,,144.766663,-36.766666,Victoria,Redcastle,123.73,-26.51,801,AU,"leached coarse sandstone, at times conglomeratic",sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,
111213,Lissatrypa sp.,genus,Lissatrypa,genus,Lochkovian,419.2,410.8,1965,Brachiopoda,Rhynchonellata,Atrypida,Lissatrypidae,Lissatrypa,144.766663,-36.766666,Victoria,Redcastle,123.73,-26.51,801,AU,"leached coarse sandstone, at times conglomeratic",sandstone,,,marine indet.,,,,,biostratigraphic,,,stationary,blind,suspension feeder,Lissatrypa
